,City,Country,Latitude,Longitude,Temperature,Wind Speed,Humidity,Cloudiness
0,ozinki,ru,51.2,49.73,0.35,3.21,98.0,92.0
1,mapiripan,co,2.89,-72.13,24.15,1.21,78.0,12.0
3,trinidad,bo,-14.83,-64.9,23.43,1.91,94.0,88.0
4,port hardy,ca,50.7,-127.42,8.0,4.1,93.0,90.0
5,peniche,pt,39.36,-9.38,7.0,3.6,93.0,40.0
6,porosozero,ru,62.72,32.71,-10.68,3.66,90.0,20.0
7,dongsheng,cn,29.72,112.52,20.28,2.06,71.0,0.0
8,moree,au,-29.46,149.84,25.0,13.9,33.0,75.0
9,north bend,us,43.41,-124.22,13.0,4.6,93.0,75.0
10,kimberley,ca,49.68,-115.98,-5.5,0.86,93.0,48.0
11,changji,cn,32.07,116.17,18.53,2.01,69.0,0.0
12,tacoronte,es,28.48,-16.41,18.0,5.1,68.0,75.0
13,astoria,us,46.19,-123.83,11.7,4.6,93.0,90.0
14,caxito,ao,-8.58,13.66,23.53,1.86,88.0,0.0
15,lokoja,ng,7.8,6.74,22.25,0.86,90.0,0.0
16,aktash,ru,50.31,87.6,-5.6,2.11,70.0,56.0
17,kruisfontein,za,-34.0,24.73,15.8,9.26,94.0,76.0
18,albanel,ca,48.88,-72.44,-0.35,4.01,84.0,92.0
20,inirida,co,3.87,-67.92,23.33,0.86,96.0,80.0
21,kodiak,us,39.95,-94.76,-9.0,3.1,52.0,1.0
22,rock sound,bs,24.9,-76.2,24.8,10.16,100.0,92.0
24,korsakov,ru,46.63,142.78,-3.0,8.0,68.0,75.0
26,nikolskoye,ru,59.7,30.79,-9.0,2.0,85.0,40.0
27,neverkino,ru,52.79,46.74,-7.93,5.06,85.0,80.0
29,polyarnyy,ru,69.2,33.45,-6.0,2.0,92.0,0.0
31,verkhnyaya inta,ru,65.99,60.32,-22.08,1.06,62.0,36.0
32,pangoa,pe,-12.12,-73.0,18.33,0.86,92.0,68.0
33,penzance,gb,50.12,-5.53,13.0,9.8,93.0,90.0
34,khasan,ru,42.43,130.64,0.05,6.01,100.0,0.0
35,nadvoitsy,ru,63.89,34.27,-9.6,4.11,89.0,64.0
36,faanui,pf,-16.48,-151.75,27.7,5.01,100.0,56.0
37,mountain home,us,43.13,-115.69,5.0,5.7,96.0,90.0
39,pangnirtung,ca,66.15,-65.72,-8.23,0.86,89.0,80.0
40,san rafael,ar,-34.61,-68.33,11.68,1.71,78.0,0.0
41,chinhoyi,zw,-17.36,30.19,22.7,1.81,81.0,92.0
42,oranjemund,na,-28.55,16.43,14.95,8.36,96.0,0.0
43,mashpee,us,41.65,-70.48,5.0,6.2,74.0,1.0
44,saint-francois,gp,16.25,-61.27,22.0,1.5,83.0,20.0
46,gurupi,br,-11.73,-49.07,21.4,2.56,97.0,36.0
48,marshall,us,39.39,-87.69,-4.4,4.6,84.0,1.0
49,raymond,ca,49.47,-112.67,8.0,11.8,52.0,75.0
50,wau,pg,-7.34,146.72,26.0,1.51,91.0,44.0
51,chur,ch,46.86,9.53,0.0,0.5,92.0,0.0
52,zhangjiakou,cn,40.77,114.88,4.45,1.61,31.0,0.0
53,guatire,ve,10.47,-66.54,25.0,2.1,94.0,40.0
54,amurzet,ru,47.7,131.1,-11.48,3.11,38.0,56.0
56,benxi,cn,41.29,123.76,1.0,1.0,13.0,0.0
58,kumo,ng,10.05,11.21,16.28,1.61,57.0,0.0
60,howard springs,au,-12.5,131.05,33.0,6.7,59.0,20.0
61,yeppoon,au,-23.13,150.74,43.0,13.9,10.0,0.0
62,yatou,cn,33.81,104.32,14.68,0.46,21.0,0.0
63,naryan-mar,ru,67.67,53.09,-17.9,1.26,66.0,76.0
64,filingue,ne,14.35,3.32,16.15,2.41,46.0,0.0
65,baghdad,iq,33.3,44.38,10.0,2.6,100.0,0.0
66,kyenjojo,ug,0.61,30.64,19.25,1.96,96.0,44.0
67,sao domingos,br,-13.4,-46.32,19.75,4.51,93.0,92.0
69,dudinka,ru,69.41,86.18,-29.15,1.71,30.0,48.0
70,xiaoweizhai,cn,26.23,107.51,17.93,1.51,70.0,0.0
71,meiganga,cm,6.52,14.29,20.83,0.96,53.0,64.0
72,catumbela,ao,-12.43,13.55,22.15,1.61,74.0,12.0
73,lagoa,pt,37.14,-8.45,8.0,2.1,87.0,0.0
74,daru,pg,-9.07,143.21,30.35,3.66,91.0,0.0
75,matiri,tz,-10.75,34.9,26.0,3.66,74.0,0.0
76,puerto ayacucho,ve,5.66,-67.62,28.0,1.06,78.0,75.0
78,dubti,et,11.74,41.09,25.25,2.06,59.0,0.0
79,okha,ru,53.59,142.95,-3.0,13.11,89.0,44.0
81,segezha,ru,63.74,34.31,-9.6,4.11,89.0,64.0
82,umm kaddadah,sd,13.6,26.69,17.6,5.86,34.0,0.0
83,botad,in,22.17,71.67,29.43,2.86,33.0,0.0
84,coronado,us,38.49,-101.3,3.0,5.1,59.0,1.0
85,roald,no,62.58,6.12,1.0,5.7,64.0,0.0
86,pokhara,np,28.21,83.99,17.9,1.16,52.0,32.0
87,gorontalo,id,0.54,123.06,27.68,0.91,85.0,48.0
88,lima,pe,-12.06,-77.04,19.0,4.6,88.0,0.0
90,balsas,br,-7.53,-46.04,23.0,3.66,90.0,88.0
91,madimba,tz,-10.4,40.33,20.0,2.36,82.0,40.0
92,araure,ve,9.59,-69.23,22.0,1.71,83.0,75.0
94,matagami,ca,49.76,-77.63,0.0,3.6,88.0,90.0
95,atambua,id,-9.11,124.89,27.28,3.96,100.0,20.0
96,gravdal,no,59.79,5.78,3.0,6.7,59.0,24.0
97,zhaodong,cn,46.07,125.99,-5.0,6.0,29.0,0.0
98,porto santo,pt,33.07,-16.34,17.0,1.5,82.0,20.0
99,oranjestad,aw,12.52,-70.03,26.0,4.1,83.0,20.0
100,port-cartier,ca,50.03,-66.88,0.0,6.2,100.0,90.0
101,sept-iles,ca,50.2,-66.38,0.0,6.2,80.0,90.0
102,petropavlovsk-kamchatskiy,ru,53.05,158.65,-8.0,3.0,92.0,90.0
104,tres arroyos,ar,-38.38,-60.28,16.83,3.86,57.0,76.0
105,lavumisa,sz,-27.31,31.89,23.28,3.91,89.0,88.0
107,pitelino,ru,54.58,41.81,-9.95,1.61,85.0,64.0
108,lermontovka,ru,47.15,134.34,-9.55,5.81,55.0,56.0
109,macomb,us,40.46,-90.67,-9.0,4.6,83.0,1.0
110,anloga,gh,5.79,0.9,25.0,1.5,94.0,20.0
111,bluff,nz,-46.6,168.33,13.15,11.56,93.0,0.0
112,butaritari,ki,3.07,172.79,29.58,6.01,100.0,0.0
114,simao,cn,22.76,100.79,22.28,0.76,49.0,0.0
115,pokaran,in,26.93,71.92,26.75,2.41,37.0,0.0
116,santiago,ph,16.69,121.54,27.6,1.76,80.0,24.0
117,koshurnikovo,ru,54.3,93.39,-6.65,3.36,68.0,80.0
118,grand forks,ca,49.03,-118.46,-0.18,0.86,98.0,88.0
120,lonevag,no,60.53,5.49,-2.0,7.2,68.0,0.0
121,kyren,ru,51.68,102.13,-12.0,1.16,62.0,36.0
122,namatanai,pg,-3.66,152.44,29.35,4.06,97.0,32.0
123,canutama,br,-6.53,-64.38,23.75,1.06,92.0,88.0
124,jega,ng,12.22,4.38,19.15,3.91,31.0,56.0
125,bembibre,es,42.62,-6.42,2.0,2.1,100.0,0.0
126,acapulco,mx,16.86,-99.88,26.0,1.41,88.0,40.0
127,santo augusto,br,-27.85,-53.78,20.0,4.11,78.0,44.0
128,lompoc,us,34.64,-120.46,17.2,4.31,96.0,75.0
129,santa cruz de tenerife,es,28.47,-16.25,18.0,5.1,68.0,75.0
130,kachug,ru,53.96,105.89,-14.23,1.61,74.0,0.0
132,lavrentiya,ru,65.58,-170.99,-3.43,6.01,100.0,92.0
133,harper,lr,4.38,-7.71,26.7,1.86,100.0,56.0
134,sancti spiritus,cu,21.93,-79.44,22.1,4.41,97.0,68.0
135,podporozhye,ru,60.91,34.16,-12.73,3.56,78.0,0.0
137,livingston,us,45.66,-110.56,7.0,13.9,39.0,90.0
138,stokmarknes,no,68.56,14.91,2.0,1.0,100.0,40.0
140,sao felix do xingu,br,-6.64,-51.99,23.03,0.76,97.0,80.0
141,kurilsk,ru,45.23,147.88,4.28,10.11,97.0,56.0
142,omboue,ga,-1.57,9.26,25.25,3.11,100.0,92.0
143,ende,id,-8.84,121.65,27.7,2.96,100.0,64.0
144,bullhead city,us,35.15,-114.57,15.0,1.66,20.0,1.0
145,tessalit,ml,20.2,1.01,11.43,3.01,31.0,36.0
146,busselton,au,-33.64,115.35,20.45,6.26,87.0,0.0
147,maragogipe,br,-12.78,-38.92,25.0,5.7,88.0,75.0
148,swan hill,au,-35.34,143.56,23.28,7.51,53.0,36.0
149,ferme-neuve,ca,46.7,-75.45,-0.08,3.21,85.0,92.0
150,bitung,id,1.44,125.19,32.0,3.6,66.0,40.0
151,lethem,gy,3.38,-59.8,22.8,1.41,94.0,36.0
152,balaipungut,id,1.11,101.31,29.55,1.66,90.0,44.0
154,lesnoy,ru,59.78,52.13,-8.68,2.11,76.0,68.0
155,moose factory,ca,51.26,-80.61,-1.0,1.5,100.0,90.0
156,salalah,om,17.01,54.1,28.0,8.7,48.0,0.0
157,rodrigues alves,br,-7.74,-72.65,25.0,1.06,94.0,0.0
158,acoyapa,ni,11.97,-85.17,25.1,4.01,81.0,32.0
159,novyy urgal,ru,51.07,132.56,-13.55,2.31,65.0,88.0
160,cradock,za,-32.16,25.62,9.68,3.66,58.0,48.0
162,hofn,is,64.25,-15.21,5.15,11.31,100.0,92.0
163,mezen,ru,65.85,44.24,-20.2,1.21,53.0,20.0
164,yanji,cn,42.89,129.5,-3.58,3.71,20.0,0.0
165,kawhia,nz,-38.07,174.82,17.68,4.71,92.0,44.0
166,cody,us,44.53,-109.06,7.8,4.1,45.0,20.0
168,pastavy,by,55.11,26.84,-6.25,3.66,90.0,48.0
169,watsa,cd,3.04,29.53,19.85,1.21,99.0,80.0
170,aconibe,gq,1.29,10.94,21.1,1.31,97.0,88.0
171,tuy hoa,vn,13.08,109.3,25.93,5.66,96.0,76.0
172,goroka,pg,-6.07,145.39,17.93,0.41,100.0,32.0
173,canavieiras,br,-15.68,-38.95,22.55,2.11,98.0,92.0
174,bredasdorp,za,-34.53,20.04,11.0,3.1,81.0,36.0
175,xiongzhou,cn,32.34,118.83,12.0,2.0,76.0,40.0
176,kuryk,kz,43.18,51.68,9.25,6.71,91.0,0.0
177,katangli,ru,51.71,143.23,-1.23,13.31,98.0,76.0
178,asyut,eg,27.18,31.19,12.0,2.1,81.0,0.0
179,kailua,us,21.39,-157.74,25.6,4.1,76.0,90.0
180,suba,ph,9.55,123.31,31.0,6.2,74.0,20.0
181,ossora,ru,59.24,163.07,-11.05,4.66,100.0,88.0
182,nizhniy chir,ru,48.36,43.08,1.15,5.16,100.0,56.0
183,cabedelo,br,-6.97,-34.84,23.0,3.1,100.0,20.0
184,burgeo,ca,47.61,-57.61,3.2,12.76,100.0,92.0
185,vilyuysk,ru,63.75,121.63,-31.05,1.41,36.0,68.0
186,georgiyevka,kz,43.04,74.71,1.0,3.0,93.0,20.0
187,zhangye,cn,38.94,100.46,5.9,2.56,64.0,0.0
188,lyuban,by,52.8,28.0,-4.75,3.66,80.0,76.0
189,wonthaggi,au,-38.6,145.59,19.3,2.51,64.0,64.0
190,honningsvag,no,70.98,25.97,1.0,9.8,86.0,75.0
191,hargeysa,so,9.56,44.06,18.0,5.1,93.0,75.0
192,zastron,za,-30.3,27.08,10.05,4.76,78.0,0.0
193,camacha,pt,33.08,-16.33,17.0,1.5,82.0,20.0
194,biggar,ca,52.06,-107.98,-4.8,3.71,94.0,92.0
196,palafrugell,es,41.92,3.16,2.0,1.96,100.0,20.0
197,tuatapere,nz,-46.13,167.69,18.2,5.46,68.0,8.0
198,hualmay,pe,-11.1,-77.61,12.83,1.86,93.0,32.0
199,stephenville,ca,48.55,-58.59,0.0,4.1,100.0,40.0
200,genhe,cn,50.78,121.52,-18.33,4.51,51.0,44.0
201,magaria,ne,13.0,8.91,15.28,3.16,40.0,0.0
202,tondon,gn,10.37,-13.36,17.78,0.66,93.0,0.0
203,bernburg,de,51.79,11.74,-5.0,2.1,92.0,90.0
205,yashkul,ru,46.17,45.34,9.3,6.21,91.0,100.0
206,masvingo,zw,-20.08,30.83,20.0,2.6,77.0,0.0
208,coos bay,us,43.37,-124.22,13.0,4.6,93.0,75.0
209,sochaczew,pl,52.23,20.24,-3.0,3.1,92.0,64.0
211,half moon bay,us,37.46,-122.43,15.6,4.1,93.0,90.0
212,karpogory,ru,64.0,44.44,-8.65,1.86,87.0,80.0
213,prince albert,ca,53.2,-105.75,-9.0,5.1,78.0,90.0
214,shabqadar,pk,34.21,71.56,13.0,1.56,76.0,20.0
215,springfield,us,39.8,-89.64,-8.0,3.6,83.0,1.0
216,bria,cf,6.54,21.99,25.9,1.81,80.0,24.0
217,prince rupert,ca,54.32,-130.32,7.0,5.1,100.0,90.0
218,kavieng,pg,-2.57,150.8,28.8,1.31,100.0,32.0
221,taguatinga,br,-15.83,-48.06,19.0,4.6,88.0,20.0
222,richards bay,za,-28.77,32.06,20.45,8.61,85.0,92.0
223,saint-pierre,pm,46.77,-56.17,3.7,10.96,94.0,92.0
224,erzin,ru,50.26,95.16,-9.7,1.36,56.0,32.0
227,provideniya,ru,64.42,-173.23,-8.0,7.0,67.0,75.0
228,manokwari,id,-0.87,134.08,27.2,1.66,100.0,32.0
231,zhoucheng,cn,31.35,119.33,12.0,2.0,76.0,40.0
232,oxapampa,pe,-10.58,-75.4,11.78,0.76,91.0,76.0
233,roxas,ph,10.32,119.34,28.75,6.91,96.0,36.0
235,chernyshevskiy,ru,63.01,112.47,-31.83,1.46,38.0,44.0
236,santa rosa,bo,-20.7,-64.83,11.0,0.61,99.0,92.0
237,maroantsetra,mg,-15.43,49.74,25.33,0.41,83.0,8.0
238,namibe,ao,-15.19,12.15,21.68,0.71,100.0,0.0
239,novyye burasy,ru,52.13,46.08,-5.0,4.0,92.0,90.0
240,linjiang,cn,41.81,126.91,-7.05,2.21,59.0,0.0
241,deda,ro,46.95,24.87,5.0,0.5,80.0,92.0
242,mecca,sa,21.43,39.83,24.68,2.01,48.0,0.0
243,makakilo city,us,21.35,-158.09,25.6,3.1,66.0,1.0
244,bredy,ru,52.43,60.33,-3.9,3.51,93.0,88.0
246,danjiangkou,cn,32.54,111.51,15.45,1.21,64.0,0.0
247,kutum,sd,14.2,24.66,14.28,2.26,41.0,0.0
248,naifaru,mv,5.44,73.37,29.03,8.16,99.0,20.0
249,zima,ru,53.93,102.05,-11.48,2.31,73.0,44.0
251,rovaniemi,fi,66.5,25.72,-8.0,7.2,92.0,0.0
252,petawawa,ca,45.89,-77.27,1.0,3.6,96.0,75.0
253,hithadhoo,mv,-0.6,73.08,29.28,0.86,100.0,8.0
255,saint-augustin,ca,45.63,-73.98,1.0,3.1,95.0,90.0
257,lucapa,ao,-8.42,20.74,20.68,1.86,99.0,44.0
258,charleville-mezieres,fr,49.77,4.72,5.0,7.2,86.0,75.0
259,whittlesea,za,-32.18,26.82,9.93,6.31,62.0,32.0
